-478.628,-560.787,
26.2067,61.2543,
67.2537,-151.174,
529.529,108.413,
-285.115,-138.056,
-127.773,326.881,
-75.3951,62.1492,
-390.291,213.896,
46.7392,-230.163,
-55.7268,-131.191,
46.2233,-422.047,
-259.233,-572.086,
244.09,-144.237,
-6.70189,238.631,
392.3,-527.48,
-1.41748,458.839,
-60.9941,345.805,
-40.4366,180.866,
-228.801,406.178,
186.282,64.9147,
-190.57,-88.2652,
49.7787,514.384,
-144.365,343.403,
-32.6821,333.01,
238.525,220.218,
-16.4545,89.152,
804.866,65.4512,
38.55,140.957,
-270.796,-474.218,
-26.4916,-67.3984,
-75.3959,-358.599,
-137.874,-387.302,
-136.2,215.372,
141.603,-423.944,
93.913,99.596,
-35.0616,-400.566,
-121.504,-9.32264,
84.7597,-366.736,
-46.9081,103.383,
185.783,-114.062,
-58.2909,418.693,
-77.0966,338.337,
299.724,15.5107,
80.3976,272.339,
185.246,-485.289,
120.598,411.916,
171.044,240.554,
626.209,-686.85,
147.339,-655.883,
-318.097,42.0332,
-511.024,-524.011,
461.124,-752.637,
49.1429,640.628,
44.7251,-489.664,
81.2191,189.389,
157.984,125.881,
342.359,79.2453,
404.439,452.669,
-203.097,224.196,
516.661,98.2604,
656.14,151.034,
-218.203,121.863,
17.945,157.191,
-430.168,7.44626,
